stock_code,description,total_units_sold,total_revenue
21095,SET/6 POSIES PAPER PLATES,242,205.7
84805A,CREAM CLIMBING HYDRANGA ART FLOWER,145,205.35
90058A,CRYSTAL STUD EARRINGS CLEAR DISPLAY,540,205.2
21639,ASSORTED TUTTI FRUTTI KEYRING,241,204.85
20836,FRENCH PAISLEY CUSHION COVER,200,204.64
90185D,CRYSTAL DIAMANTE EXPANDABLE RING,48,204.0
90196B,BLACK GEMSTONE NECKLACE 45CM,16,204.0
20980,36 PENCILS TUBE POSY,163,203.75
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,32,203.2
90208,PAIR OF PINK FLOWER CLUSTER SLIDE,86,203.1
TEST001,This is a test product.,55,202.5
35991,SET/6 BLACK SNOWFLAKE T-LIGHTS ,388,202.33
37492A,YELLOW RED FLOWER PIGGY BANK,106,201.9
48103,DOORMAT KISS MY.......,35,201.73
22878,NUMBER TILE COTTAGE GARDEN No,96,201.6
84461,12 PINK HEN+CHICKS IN BASKET,79,201.45
16202C,BEIGE PHOTO ALBUM,94,201.3
72754A,damaged,292,201.24
35824B,"HANGING FLOWERS+MIRROR,BLUE",527,200.26
84711B,PINK OVAL SHAPE TRINKET BOX,20,199.0
90124B,BLUE MURANO TWIST NECKLACE,20,199.0
84690,S/2 BEACH HUT STOOLS,25,198.75
35833G,damages,126,198.0
16201A,PASTEL PINK PHOTO ALBUM,98,195.9
47503H,ASS FLORAL PRINT SPIRIT LEVEL ,149,195.43
85070,for show,2,195.0
21369,MIRRORED WALL ART SPLODGES,128,195.0
47504F,ENGLISH ROSE TORCH,527,194.75
21018,damaged,229,194.65
17014D,ORIGAMI ROSE INCENSE CONES,476,194.28
46776E,WOVEN CANDY CUSHION COVER ,93,193.95
84877D,BLUE ROUND COMPACT MIRROR,107,193.75
21372,MIRRORED WALL ART TABLE LAMP,141,193.23
21582,KINGS CHOICE SMALL TUBE MATCHES,117,193.05
90161A,ANT COPPER RED BOUDICCA BRACELET,39,193.05
84893,ANT WHITE IRON BASKET,34,192.3
84247N,PACK/12 BLUE FOLKART CARDS,65,191.75
90129B,TURQUOISE GLASS TASSLE BAG CHARM ,65,191.75
90030B,RED KUKUI COCONUT SEED NECKLACE,122,191.3
35921,EASTER BUNNY HANGING GARLAND,153,191.25
84706F,RED PEONY TABLE CLOCK,32,190.4
20814,SILVER FINCH DECORATION,174,190.14
22889,NUMBER TILE VINTAGE FONT No ,158,190.08
71028B,SILVER BLUE EGG T-LIGHT HOLDER,483,189.89
72739C,DARK CHOCOLATE SCENTCANDLE,266,188.5
90122C,TURQUOISE CRYSTAL+GLASS BRACELET,38,188.1
20837,FRENCH FLORAL CUSHION COVER ,165,188.07
21370,MIRRORED WALL ART FOXY,50,188.05
90090,PINK CRYSTAL HEART PHONE CHARM,221,187.85
21734,SMALL MARAKESH LANTERN ON STICK,50,187.5
84509E,SET OF 4 CAROUSEL PLACEMATS ,133,187.31
90016B,GOLD/M.O.P PENDANT ORBIT NECKLACE,22,187.0
21543,BUTTERFLY WATER TRANSFER TATTOOS ,267,186.95
47587A,PINK FAIRY CAKE COASTER,1476,185.64
90014B,GOLD M.O.P. ORBIT NECKLACE,20,185.0
21400,RED PUDDING SPOON,1015,184.5
17084P,DRAGONS BLOOD INCENSE,924,184.04
84927E,FLOWERS TILE HOOK,295,183.78
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,534,183.34
35819B,check,383,182.95
79303D,LILAC FLOWER BLOCK TABLE LAMP,62,182.9
90035A,"PEARL & SHELL 42""NECKL. GREEN",17,182.75
90210A,GREY ACRYLIC FACETED BANGLE,79,182.65
72799D,BLUE PILLAR CANDLE SILVER FLOCK,65,182.15
85128,PLANTPOT SINGLE HOOK PISTACHIO,165,182.09
84464,S/60 PINK FLUFFY CHICKS IN BOX,83,181.65
37379B,BLUE CHERRY BLOSSOM CUP & SAUCER,1122,181.5
84247K,"FOLK ART GREETING CARD,pack/12",61,179.95
84962,SET/3 COLOUR PAINTED KASHMIRI STOOL,3,179.85
23697,A PRETTY THANK YOU CARD,438,179.64
84803A,PINK ALLIUM  ARTIFICIAL FLOWER,106,179.14
90029,NEW BAROQUE SMALL NECKLACE BLACK,21,178.5
37506,NEW ENGLAND MILK JUG W GIFT BOX,30,178.5
90122A,PINK CRYSTAL+GLASS BRACELET,36,178.2
35838A,S/6 MULTICOLOUR ORNAMENETAL CANDLE,172,177.6
84985B,SET OF 72 BLACK PAPER DOILIES ,122,176.9
84966A,PINK KASHMIRI BOXED MIRROR,12,176.0
72812,LARGE ZINC GLASS CANDLEHOLDER,78,175.98
90085,CRYSTAL STILETTO PHONE CHARM,207,175.95
21368,MIRRORED WALL ART LADIES,195,175.05
90036C,"FLOWER GLASS GARLAND NECKL.36""BLUE",22,174.9
16202A,PASTEL PINK PHOTO ALBUM ,337,174.2
35793,S/3 PUPPIES CHRISTMAS DECORATIONS,101,174.05
75011,BLUE DAISY MOBILE,181,172.51
90210C,RED   ACRYLIC FACETED BANGLE,113,171.95
21460,GREEN EASTER EGG HUNT START POST,88,171.6
84706C,PINK FLOCK TABLE CLOCK ,84,170.8
47347B,BLUE FLOWER T-LIGHT HOLDER,236,169.72
84531B,returned,194,169.26
90119,METALIC LEAVES BAG CHARMS,68,168.72
35818B,adjustment,403,168.38
85205A,IVORY FELT EASTER RABBIT GARLAND,66,168.3
90122B,JADE CRYSTAL+GLASS BRACELET,34,168.3
90178B,PURPLE CHUNKY GLASS+BEAD NECKLACE,14,167.3
90036A,FLOWER GARLAND NECKLACE RED,21,166.95
90070,RUBY GLASS CLUSTER BRACELET,28,166.6
21102,"CANDLE IN JAR COLLAGE , VANILLA",65,165.75
90186A,AMETHYST HOOP EARRING FLORAL LEAF,56,165.2
84526,GIANT BLACK SUNGLASSES,84,163.8
84531A,returned,187,163.41
90159,COTE D'AZURE NECKLACE,33,163.35
85024C,PINK SMALL JEWELLED PHOTOFRAME,99,163.35
35809B,ENAMEL BLUE RIM TEA CONTAINER,81,162.48
16207A,PINK STRAWBERRY HANDBAG ,55,162.25
84529A,PINK KNITTED KIDS RUCKSACK,24,162.0
90151,SILVER/NATURAL SHELL NECKLACE,19,161.5
90040B,MURANO STYLE GLASS BRACELET BLACK,46,161.0
23305,SET 4 PICNIC CUTLERY BLUEBERRY,82,159.9
90162B,ANT SILVER LIME GREEN BOUDICCA RING,54,159.3
85185C,COW  SOCK PUPPET,54,159.3
85165,damages,16,159.2
22864,MUG AND COASTER SET RED CIRCLES,378,158.76
90019A,SILVER M.O.P ORBIT BRACELET,32,158.4
21193,WHITE HONEYCOMB PAPER FAN ,84,158.36
90155,RESIN NECKLACE W PASTEL BEADS,21,157.5
21031,SPACE CADET BLACK,128,157.41
23143,ZINC WIRE KITCHEN ORGANISER,25,156.8
23468,TUSCAN VILLA BIRD TABLE ,19,156.75
17178,FLAT PALM T-LIGHT HOLDER,133,156.65
21226,POCKET MIRROR WOODLAND,125,156.25
79403,FROSTED WHITE BASE ,183,155.55
23416,CHAMBRE HOOK,123,155.07
90123B,TURQUOISE HEART OF GLASS BRACELET,26,154.7
84927D,LA PALMIERA TILE HOOK,515,154.14
84723,CHERRY BLOSSOM CANVAS ART PICTURE,48,153.6
84855,BLOKEY SILVER TOOL SET,31,153.45
72140E,BEST DAD CANDLE LETTERS,216,153.36
84029D,LEOPARD PRINT HOT WATER BOTTLE,46,153.3
90063A,WHITE VINT ART DECO CRYSTAL NECKLAC,18,153.0
84706B,FAIRY CAKES TABLE CLOCK,17,152.15
48175,DOOR MAT CAMOUFLAGE,38,152.0
84926C,FAIRY CAKES TILE COASTER,121,151.25
79161A,ST GEORGE SET OF 10 PARTY LIGHTS,51,150.45
47591A,CAROUSEL CHILDRENS APRON,91,150.15
82093,HEART SHAPE BUTTON FRAME ,100,150.0
17011A,ORIGAMI VANILLA INCENSE+FLOWER ,254,150.0
22330,72 ROUND PINK DOILIES,103,149.35
90087,CRYSTAL SEA HORSE PHONE CHARM,226,149.26
17108D,missing?,355,149.1
90000D,COPPER/OLIVE GREEN FLOWER NECKLACE,25,148.75
90000A,RASPBERRY ANT COPPER FLOWER NECKLAC,25,148.75
90016A,SILVER/M.O.P PENDANT ORBIT NECKLACE,22,148.75
47351B,BLUE  VOILE LAMPSHADE,50,147.5
90129C,GREEN GLASS TASSLE BAG CHARM,50,147.5
84720,DOT MATRIX CANVAS ART PICTURE,35,147.05
90002A,FLOWER BURST SILVER RING OPAL,39,146.25
85095,THREE CANVAS LUGGAGE TAGS,91,145.81
20796,SMALL BLUE PROVENCAL CERAMIC BALL,88,145.2
20672,PINK TEATIME PRINT BOWL,116,145.0
90018A,SILVER M.O.P ORBIT DROP EARRINGS,34,144.5
84313A,PINK TV TRAY TABLE ,34,144.5
47518F,ICON PLACEMAT POP ART ELVIS,900,144.3
35610B,thrown away,179,144.07
16054,POPART RECT PENCIL SHARPENER ASST,1097,143.94
21353,SILVER SLEIGHBELL  WREATH,18,143.1
84564,6 SEGMENT COLOURED SNACK BOWL ,18,143.1
90036E,"FLOWER GLASS GARLD NECKL36""AMETHYST",18,143.1
90123C,GREEN HEART OF GLASS BRACELET,24,142.8
84877A,PINK ROUND COMPACT MIRROR,46,142.5
21461,BLUE EASTER EGG HUNT START POST,73,142.35
82553,POP'S GREASY SPOON METAL SIGN,86,141.9
23694,PAISLEY PARK CARD,348,141.84
37422,WHITE WITH BLACK CATS BOWL,344,141.68
22882,NUMBER TILE VINTAGE FONT 3,98,141.3
82585,SWEET VALENCIA CANDLE+CUP,120,140.88
90098,NECKLACE+BRACELET PINK BUTTERFLY,55,140.25
84617,NEW BAROQUE BLACK BOXES,11,140.25
21003,ROSE DU SUD CUSHION COVER,22,139.7
16202E,BLACK PHOTO ALBUM ,79,139.5
85026B,EAU DE NILE JEWELLED T-LIGHT HOLDER,164,139.4
90124C,GREEN MURANO TWIST NECKLACE,14,139.3
90180B,PURPLE AMETHYST NECKLACE W TASSEL,14,139.3
90086,CRYSTAL FROG PHONE CHARM,190,139.18
84924F,PSYCHEDELIC METAL SIGN CALENDAR,493,139.15
20968,GREEN FLORAL FELTCRAFT SHOULDER BAG,37,138.75
81952V,ROUND PURPLE CLOCK WITH SUCKER,453,138.63
23304,SET 4 PICNIC CUTLERY CHERRY ,71,138.45
23417,BATHROOM HOOK,140,137.76
72754B,F FAIRY POTPOURRI CUSHIONS LAVENDER,170,137.54
84709A,Damaged,23,136.85
90123D,WHITE HEART OF GLASS BRACELET,23,136.85
35824P,damages,324,136.44
84452,METAL RABBIT LADDER EASTER ,160,136.0
84527,FLAMES SUNGLASSES PINK LENSES,73,135.15
90036B,"FLOWER GLASS GARLAND NECKL.36""GREEN",17,135.15
82587,TEXRIO TOMATOES CANDLE+CUP,111,134.19
90125A,PINK BERTIE GLASS BEAD BAG CHARM,128,133.8
90081C,LILY BROOCH OLIVE COLOUR,27,133.65
10120,DOGGY RUBBER,634,133.14
84231,EASTER BUNNY WITH BASKET ON BACK,204,132.6
71496A,A4 WALL TIDY BLUE OFFICE,240,132.24
45013,FOLDING SHOE TIDY,48,132.0
77079,DOLPHIN WINDMILL,62,131.44
37467,PIG MUG IN TWO COLOUR DESIGNS,212,131.44
48179,DOOR MAT SWEET HOME,28,131.25
90013C,GREEN VINTAGE EARRINGS ,35,131.25
84555A,YELLOW VW BEETLE CERAMIC MONEY BOX,46,130.9
84874B,BLUE TRAVEL FIRST AID KIT,79,130.35
84925E,FLOWERS WALL THERMOMETER,75,130.05
20899,VINTAGE NOTEBOOK RED ROSE,44,129.8
22885,NUMBER TILE VINTAGE FONT 6 ,92,129.6
17011D,ORIGAMI ROSE INCENSE+FLOWER,207,129.3
84228,HEN HOUSE WITH CHICK STANDING,321,128.82
35980C,REDWHITE STRIPE SCANDINAVIAN HEART ,338,128.44
90065A,WHITE VINTAGE CRYSTAL BRACELET,19,128.25
90214A,"LETTER ""A"" BLING KEY RING",121,128.21
16119,FUNKY GIRL ADDRESS BOOK,271,128.21
84255B,ORANGE COCKTAIL GLASS LAMP,61,128.1
84782B,BLACK 3 TIER GLASS PLATE STAND,10,127.5
82011A,"BATHROOM SCALES, TROPICAL BEACH",34,127.5
90013D,PURPLE VINTAGE EARRINGS,34,127.5
90063B,BLACK VINT ART DEC CRYSTAL NECKLACE,15,127.5
90093,CLEAR CRYSTAL STAR PHONE CHARM,173,127.49
85018C,S/6 PAPER BOXES CURIOUS IMAGES ,36,127.2
85179C,PINK BITTY LIGHT CHAIN,77,126.85
46137D,GREEN CHENILLE SHAGGY RUG,43,126.85
23303,SET 4 PICNIC CUTLERY FONDANT,65,126.75
82607E,GLASS BONBON JAR. D'AMANDES,100,125.0
84559D,3D SHEET OF SEA WORLD STICKERS,147,124.95
35816P,"ACRYLIC JEWEL ANGEL,PINK",292,124.88
10080,GROOVY CACTUS INFLATABLE,303,124.61
84661C,PINK SQUARE TABLE CLOCK,137,124.55
90125D,PURPLE BERTIE GLASS BEAD BAG CHARM,102,124.2
90162C,ANT SILVER FUSCHIA BOUDICCA RING,42,123.9
35015,JACOBS LADDER SMALL,2064,123.84
90013A,MIDNIGHT BLUE VINTAGE EARRINGS,33,123.75
90173,PAIR BUTTERFLY HAIR CLIPS,33,123.75
22881,NUMBER TILE VINTAGE FONT 2,89,123.75
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,33,123.75
21087,SET/6 POSIES PAPER CUPS,220,123.22
16053,POPART COL BALLPOINT PEN ASST,2298,122.58
84367,crushed,73,122.55
79192A,RETRO PLASTIC 70'S TRAY,98,122.5
79308B,MOSAIC CANDLE DISH BLUE PURPLE,144,122.4
16168S,FUNKY MONKEY GIFT BAG SMALL,1274,121.86
79532,MOSAIC GLASS BALL CANDLEHOLDER,96,120.0
21310,CAPIZ CHANDELIER,4,119.8
35911B,PINK/FLOWER RABBIT EGG WARMER ,57,119.7
23463,VINTAGE ZINC WATERING CAN,12,119.4
84656,WHITE ROSE C/COVER,20,119.0
84622,PINK GINGHAM ROSE CUSHION COVER,20,119.0
21228,"POCKET MIRROR ""GLAMOROUS""",95,118.75
84873A,FUNKY FLOWER PICNIC BAG FOR 4,7,118.65
84872A,TEATIME FUNKY FLOWER BACKPACK FOR 2,7,118.65
35933,PINK STOCKING CHRISTMAS DECORATION,312,118.56
22884,NUMBER TILE VINTAGE FONT 5,86,117.9
44242B,PINK FEATHERS CURTAIN,106,117.78
35824C,damaged,235,117.05
84858A,NATURAL RIVIERA HANDBAG,52,116.7
16206B,RED PURSE WITH PINK HEART,96,116.4
23185,FRENCH STYLE STORAGE JAR JAM,322,116.3
85166A,WHITE METAL BAROQUE PHOTO FRAME,71,116.25
90144,SILVER DROP EARRINGS WITH FLOWER,31,116.25
84921,CREAM AND PINK FLOWERS PONY ,31,116.25
22883,NUMBER TILE VINTAGE FONT 4,85,115.95
90030C,BROWN KUKUI COCONUT SEED NECKLACE,81,115.65
20848,ZINC HEART LATTICE CHARGER SMALL,39,115.05
20896,VINTAGE NOTEBOOK PINK FLOWER,39,115.05
17090D,VANILLA INCENSE 40 CONES IN TIN,95,113.95
46776D,WOVEN SUNSET CUSHION COVER ,23,113.85
84927A,WAKE UP COCKEREL TILE HOOK,143,113.82
90214K,"LETTER ""K"" BLING KEY RING",110,113.5
82607C,damages,90,112.5
84462,3 PINK HEN+CHICKS IN BASKET,99,112.35
44236,PINK/PURPLE CIRCLE CURTAIN,64,112.32
90214S,"LETTER ""S"" BLING KEY RING",109,112.25
90129D,AMBER GLASS TASSLE BAG CHARM,38,112.1
71510,SQUARE METAL CANDLEHOLDER BASE,177,112.05
22880,NUMBER TILE VINTAGE FONT 1,83,112.05
17014A,ORIGAMI VANILLA INCENSE CONES,247,111.81
72133,COLUMBIAN CANDLE RECTANGLE,106,111.62
71495B,CD WALL TIDY RED FLOWERS,300,111.6
16043,POP ART PUSH DOWN RUBBER ,1158,111.36
90214C,"LETTER ""C"" BLING KEY RING",109,111.29
90024D,NEW BAROQUE B'FLY NECKLACE PINK,13,110.5
90185B,AMETHYST DIAMANTE EXPANDABLE RING,26,110.5
22886,NUMBER TILE VINTAGE FONT 7,82,110.1
78026,SEAGRASS S/3 SQU LAUNDRY BOX,11,110.0
23496,PANTRY KITCHEN THERMOMETER ,88,110.0
90175B,PINK GLASS CHUNKY CHARM BRACELET,13,109.9
85190,PINK FLOWER HANGING HEART ,129,109.65
84886,BLUE METAL WALL SHELF,11,109.45
84288B,SET/2 BLUE  NOODLE BASKETS,56,109.2
23578,SNACK TRAY RED GINGHAM,56,109.2
72134,COLUMBIAN  CUBE CANDLE ,320,109.16
90129E,PURPLE GLASS TASSLE BAG CHARM,37,109.15
84751B,BLACK MEDIUM GLASS CAKE STAND,37,109.15
90206C,CRYSTAL DIAMANTE STAR BROOCH,22,108.9
90158,ST TROPEZ NECKLACE,22,108.9
90073,VINTAGE ENAMEL & CRYSTAL EARRINGS,22,108.9
21412,VINTAGE GOLD TINSEL REEL,226,108.36
90199B,5 STRAND GLASS NECKLACE AMETHYST,17,107.95
90199A,5 STRAND GLASS NECKLACE BLACK,17,107.95
79144B,PAINTED LIGHTBULB STAR+ MOON,265,107.7
84899F,YELLOW PURPLE DAISY FELT PURSE KIT,86,107.5
90060F,FIRE POLISHED GLASS NECKL GREEN,18,107.1
23151,ZINC SWEETHEART SOAP DISH,60,106.9
90185C,BLACK DIAMANTE EXPANDABLE RING,25,106.25
23477,WOODLAND LARGE BLUE FELT HEART,85,106.25
90194,SILVER LARIAT BLACK STONE EARRINGS,25,106.25
20693,FLORAL DINOSAUR GREEN,25,106.25
90129F,RED GLASS TASSLE BAG CHARM,36,106.2
90186B,CRYSTAL HOOP EARRING FLORAL LEAF,36,106.2
72038P,damages,1000,106.0
90003D,CRYSTAL PAIR HEART HAIR SLIDES,28,105.0
22987,WRAP SUMMER ROSE DESIGN,250,105.0
16169D,WRAP WINTER FOREST,250,105.0
84458,S/3 RABBIT FLOWER/EGG/CARROT ROPE,123,104.55
21118,SHOPPING BAG DOORSTOP,69,104.25
20698,LITTLE PINK MONSTER SOFT TOY,43,104.25
35607A,PINK FLUFFY CHRISTMAS DECORATION,547,103.93
84705B,FAIRY CAKES PHOTO FRAME,83,103.75
90036F,"FLOWER GLASS GARLD NECKL36""TURQUOIS",13,103.35
90129A,PINK GLASS TASSLE BAG CHARM ,35,103.25
85185F,LION SOCK PUPPET,35,103.25
84199,GLOW IN DARK DOLPHINS,503,103.11
35096B,RED VICTORIAN FABRIC HEART BOX,288,102.63
16248B,BLUE HOLE PUNCH,82,102.5
22887,NUMBER TILE VINTAGE FONT 8,78,102.3
21089,damaged,318,102.28
90024E,NEW BAROQUE B'FLY NECKLACE MONTANA,12,102.0
90030A,SPOTTED WHITE NATURAL SEED NECKLACE,77,101.75
84249A,"GREETING CARD,SQUARE, DOUGHNUTS",238,101.6
35910A,MULTICOLOUR EASTER RABBIT ,52,101.4
81950B,FLOWER BLUE CLOCK WITH SUCKER,196,101.08
84549,CROCHET WHITE RABBIT KEYRING ,64,100.8
85050,FRENCH ENAMEL SOAP DISH WITH LID,48,100.8
17084J,LOVE POTION MASALA INCENSE,479,100.59
75172,PAINTED SEA SHELL METAL WINDCHIME,97,100.31
90190B,GOLD/AMBER DROP EARRINGS W LEAF,34,100.3
72753C,S/3 FLWR FAIRY ROSE CANDLES,42,99.9
20697,LITTLE GREEN MONSTER SOFT TOY,41,99.15
47592B,SCOTTIE DOGS CHILDRENS OVERALL,47,98.7
20861,GOLD COSMETIC BAG PINK STAR,47,98.7
90214L,"LETTER ""L"" BLING KEY RING",106,97.94
90185A,AMBER DIAMANTE EXPANDABLE RING,23,97.75
84613A,thrown away,21,97.65
16161G,WRAP BAD HAIR DAY,975,97.5
84679,CLASSICAL ROSE TABLE LAMP,13,97.35
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,46,96.6
72821,CUPID SCENTED CANDLE IN GLASS,58,95.7
90108,BLUE BLOSSOM HAIR CLIP,91,95.55
90199D,5 STRAND GLASS NECKLACE AMBER,15,95.25
90211B,JET BLACK LAS VEGAS NECKLACE 45CM,16,95.2
72606A,BROWN ANTIQUE CUBE CANDLE,226,94.92
90125C,TURQUOISE BERTIE GLASS BEAD CHARM,88,94.8
72740A,LARGE STRAWBERRY CHOCOLATE CANDLE,56,94.7
20957,PORCELAIN HANGING BELL SMALL,65,94.25
90048,GREEN WITH METAL BAG CHARM,19,94.05
90137,PINK COMBO MINI CRYSTALS NECKLACE,19,94.05
84575A,PINK DOG CANNISTER,23,92.85
35610A,thrown away,138,92.82
17084A,TRANQUILITY MASALA INCENSE,442,92.82
35966,FOLKART CHRISTMAS TREE T-LIGHT HOLD,244,92.72
84867A,PINK BABY GIRLS PHOTO ALBUM,15,92.25
71406C,BLACK ORANGE SQUEEZER,219,91.98
90094,NECKLACE+BRACELET SET FRUIT SALAD ,36,91.8
20664,TROPICAL HOLIDAY PURSE ,31,91.45
20660,VIP LUGGAGE TAG ,73,91.25
90040D,MURANO STYLE GLASS BRACELET PINK,26,91.0
90040C,MURANO STYLE GLASS BRACELET GOLD,26,91.0
10123G,ARMY CAMO WRAPPING TAPE,1142,90.94
90170,DAISY HAIR BAND,55,90.75
84388,WISE MAN STAR SHAPE EGG PAN,71,90.69
23574,PACKING CHARGE,12,90.0
90163A,PINK ROSEBUD & PEARL NECKLACE,12,90.0
90150,BLUE SHELL+SILVER NECKLACE,12,90.0
20816,GOLD FLOWER CUSHION COVER ,19,89.85
90214M,"LETTER ""M"" BLING KEY RING",81,89.73
84437A,S/6 PINK EASTER DECS IN BOX,105,89.25
90042C,FRESHWATER PEARL BRACELET IVORY,35,89.25
90023,FILIGREE DIAMANTE EARRINGS,21,89.25
90156,RESIN BRACELET W PASTEL BEADS,18,89.1
90133,TEAL/FUSCHIA COL BEAD NECKLACE,18,89.1
22879,NUMBER TILE VINTAGE FONT 0,71,88.65
21337,SILVER WASHBAG,30,88.5
84465,15 PINK FLUFFY CHICKS IN BOX,30,88.5
35638A,PINK AND BLACK STRING CURTAIN,39,88.05
84721,MANHATTAN CANVAS ART PICTURE,20,87.8
35271S,GOLD PRINT PAPER BAG,433,87.79
23442,12 HANGING EGGS HAND PAINTED,42,87.36
90214E,"LETTER ""E"" BLING KEY RING",89,87.25
35822B,"ACRYLIC BEAD CHAIN, BLUE",229,87.02
84424A,FOUR PICTURE WHITE GLASS FRAME,23,86.25
90002C,FLOWER BURST SILVER RING MIDN'T BLU,23,86.25
35913B,WHITE/PINK CHICK EASTER DECORATION,101,85.85
90190C,SILVER/AMETHYST DROP EARRINGS LEAF,29,85.55
90162A,ANT SILVER TURQUOISE BOUDICCA RING,29,85.55
90164A,PINK ROSEBUD PEARL BRACELET,21,85.35
35265,COLOURFUL FLOWER FRUIT BOWL,21,85.0
84923,PINK BUTTERFLY HANDBAG W BOBBLES,10,85.0
90028,NEW BAROQUE LARGE NECKLACE BLK/WHIT,10,85.0
90026D,GLASS BEAD HOOP NECKLACE AMETHYST,10,85.0
17027A,INCENSE BAZAAR CANNABIS,228,84.84
46775B,BERRIES CHUNKY KNITTED THROW ,5,84.75
90214J,"LETTER ""J"" BLING KEY RING",77,84.73
72783,BLACK SIL'T SQU CANDLE PLATE ,40,84.0
90000B,MIDNIGHT BLUE COPPER FLOWER NECKLAC,14,83.3
72779,SET/6 BLACK ROSE T-LIGHT CANDLES,49,82.81
90069,RUBY GLASS CLUSTER NECKLACE,11,82.5
90039D,FIRE POLISHED GLASS BRACELET GREEN,22,82.5
35838B,S/6 SILVER ORNAMENETAL CANDLE,97,82.45
21699,SET 5 MINI CHOCOLATE FRIDGE MAGNETS,108,82.44
16051,TEATIME PENCIL W STAMP ASST,938,82.2
35609A,PINK FEATHER CHRISTMAS DECORATION,427,82.19
37471,MULTICOLOUR POLKADOT PLATE,700,82.0
90164B,WHITE  ROSEBUD PEARL BRACELET,30,80.7
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,124,80.6
90166,PINK & WHITE ROSEBUD RING,19,80.15
37479P,CUBIC MUG FLOCK PINK ON BROWN,139,80.13
90162D,ANT SILVER PURPLE BOUDICCA RING,27,79.65
47369B,BLUE GREEN EMBROIDERY COSMETIC BAG,26,79.54
84795E,RIO PINK STRIPE HAMMOCK,10,79.5
23464,VINTAGE ZINC WATERING CAN SMALL,16,79.2
90096,NECKLACE+BRACELET SET BLUE BLOSSOM,31,79.05
90115,SUMMER BUTTERFLIES BAG CHARM,31,79.05
79191D,RETRO PLASTIC DAISY TRAY,93,79.05
72709,IVORY SCULPTED RND CANDLE ,92,78.2
35931,PINK STAR CHRISTMAS DECORATION,156,78.12
84596I,WRAP SWEETS LIGHT PINK SMALL BOWL,71,78.11
84914A,PINK ROSE PICNIC RUG,3,77.85
71495A,CD WALL TIDY BLUE OFFICE,212,77.52
84614A,thrown away,13,77.35
22888,NUMBER TILE VINTAGE FONT 9 ,66,77.14
84593,CROCHET ROSE DES CLOTHES HANGER,26,76.7
37509,NEW ENGLAND MUG W GIFT BOX,30,76.5
35815P,"ACRYLIC JEWEL SNOWFLAKE, PINK",168,75.88
23467,VINTAGE ZINC PLANTER  ,23,75.67
16161E,WRAP BOUDOIR ,750,75.0
37399,"ASS RETROSPOOF MUGS,SPORTS",143,75.0
90013B,BLACK VINTAGE EARRINGS,20,75.0
84757,ENCHANTED GARDEN WROUGHT IRON TABLE,5,74.75
81952B,ROUND BLUE CLOCK WITH SUCKER,248,74.6
90116,FRUIT SALAD BAG CHARM,44,74.36
62043B,BLUE CHECK BAG W HANDLE 34X20CM,53,74.33
90099,NECKLACE+BRACELET SET BLUE HIBISCUS,29,73.95
35610C,Thrown away.,91,73.91
90177D,DROP DIAMANTE EARRINGS PURPLE,25,73.75
47369A,PINK GREEN EMBROIDERY COSMETIC BAG,25,73.75
90067A,PINK VINTAGE VICTORIAN EARRINGS,25,73.75
15030,FAN BLACK FRAME ,254,73.66
79331,PINK FLOCK GLASS CANDLEHOLDER,60,73.6
90112,PINK DOLLY HAIR CLIPS,70,73.5
16151A,FLOWERS HANDBAG blue and orange,52,72.5
84454,missing,85,72.25
84427B,BLACK GLASS TV DOUBLE P/FRAME 15X10,17,72.25
35916C,PINK FELT HANGING HEART W FLOWER,85,72.25
84753A,PINK EAU DE COLOGNE BOTTLE,85,72.25
35937,CERISE+GOLD CHRISTMAS STOCKING DEC,188,71.44
90060D,FIRE POLISHED GLASS NECKL BRONZE,12,71.4
84925C,FAIRY CAKES  WALL THERMOMETER,28,71.4
90212B,JET BLACK LAS VEGAS BRACELET ROUND,19,71.25
84247H,PACK/12 DECOUPAGE CARD,24,70.8
90005A,JADE GREEN ENAMEL HAIR COMB,36,70.2
47420,ASSORTED COLOUR SUCTION CUP HOOK,369,70.11
90040A,MURANO STYLE GLASS BRACELET RED,20,70.0
84705A,ENGLISH ROSE PHOTO FRAME ,15,69.75
16020C,CLEAR STATIONERY BOX SET ,82,69.7
90049,IVORY GOLD METAL BAG CHARM,12,69.42
20820,SILVER LOOKING MIRROR,14,69.3
72140F,throw away,175,69.18
79144C,PAINTED LIGHTBULB RAINBOW DESIGN,173,69.06
90042A,FRESHWATER PEARL BRACELET GOLD,27,68.85
90205C,LARGE CRYSTAL DIAMANTE HAIRSLIDE,46,68.7
84251G,"GREETING CARD, OVERCROWDED POOL.",361,68.59
71215,METAL BASE FOR CANDLES,178,68.52
90089,PINK CRYSTAL SKULL PHONE CHARM,100,68.5
90121B,VINTAGE ROSE BEAD BRACELET BLUE,16,68.0
84857A,SILVER MONTE CARLO HANDBAG,8,68.0
90024B,NEW BAROQUE B'FLY NECKLACE RED,8,68.0
90018B,GOLD M.O.P ORBIT DROP EARRINGS,16,68.0
